system:index,CD_MUN,LC_Type1,Municipality_Area,.geo
1600501,1600501,4978921.78872549,2.313688144647522E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600535,1600535,0.0,4.447889035828056E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600550,1600550,0.0,4.970050000733397E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600600,1600600,5475415.546875,1.5481449202277372E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600709,1600709,2986618.078125,6.71484637534172E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
1600808,1600808,0.0,2.520232349208503E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900108,2900108,0.0,5.40713143119103E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900207,2900207,821076.4442401961,1.6116052696895387E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900306,2900306,996075.5,1.821921815512868E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900355,2900355,0.0,6.316426428957454E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900405,2900405,0.0,7.456896994244832E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900504,2900504,0.0,7.380198911421038E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900603,2900603,597787.7433823529,1.6849579029869565E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900702,2900702,2.1299388137193628E7,7.105939301148862E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900801,2900801,2240712.5254289214,1.482771234998467E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2900900,2900900,1245486.453125,2.4612535692463616E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901007,2901007,2490520.34375,4.3329903351873994E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901106,2901106,2241328.59375,1.6751927066649404E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901155,2901155,0.0,8.256302777079785E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901205,2901205,2165659.6542279413,1.9065897690604208E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901304,2901304,0.0,1.596419028091689E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901353,2901353,0.0,1.3679189774811082E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901403,2901403,0.0,1.5360324397778819E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901502,2901502,0.0,1.8857099390130708E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901601,2901601,0.0,3.210404374052545E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901700,2901700,0.0,2.946663886931178E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901809,2901809,0.0,3.4667649178185713E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901908,2901908,1245100.03125,4.8114632428587025E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2901957,2901957,0.0,1.513910233299656E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902005,2902005,2241805.796875,1.4952299994566562E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902054,2902054,996127.21875,4.764249396277734E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902104,2902104,996045.734375,1.5022044037504773E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902203,2902203,0.0,3.703873240786867E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902252,2902252,1494681.6875,4.3751459281381357E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902302,2902302,392624.287867647,1.746729622701991E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902401,2902401,2087442.123897059,4.470215720593844E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902500,2902500,0.0,3.3334739109402742E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902609,2902609,0.0,9.712976265199473E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902658,2902658,1493979.734375,4.111603589471337E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902708,2902708,5975034.282781863,1.1473972490771183E10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902807,2902807,0.0,1.6636229246180973E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2902906,2902906,4234733.625,7.686958652564675E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903003,2903003,0.0,1.5928629446648872E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903102,2903102,1082291.8897058824,2.1520301973296332E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903235,2903235,0.0,4.161298825753306E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903276,2903276,0.0,2.0811410373315585E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903300,2903300,0.0,2.023129479101504E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903409,2903409,1245656.296875,1.9461731637634923E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903508,2903508,4234818.765625,7.755316844869716E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903607,2903607,698224.990992647,5.559477868394616E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903706,2903706,4035231.3608455886,8.526507556270332E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903805,2903805,0.0,2.9835042804302354E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903904,2903904,7809665.877634804,4.1310721951072764E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2903953,2903953,0.0,4.6952278204036266E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904001,2904001,0.0,9.002974494984449E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904050,2904050,0.0,7.943708271774286E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904100,2904100,0.0,1.431710150414264E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904209,2904209,0.0,6.299786106048884E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904308,2904308,1743377.1875,5.2053779786579764E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904407,2904407,0.0,2.255878661473888E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904506,2904506,0.0,2.3797199331309834E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904605,2904605,2.042478684375E7,2.2157468927295785E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904704,2904704,2740151.015625,2.202740540254994E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904753,2904753,0.0,4.06307014741677E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904803,2904803,996421.5,5.142724554187549E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904852,2904852,747119.140625,2.22882345945811E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2904902,2904902,1390725.5397671568,3.964119072510122E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2905008,2905008,7111305.09252451,6.132110186672889E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2905107,2905107,226548.315747549,5.430665739161258E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2905156,2905156,0.0,7.699594853082032E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
2905206,2905206,9465011.953125,2.661367056337095E9,"{""type"":""MultiPoint"",""coordinates"":[]}"
2905305,2905305,0.0,6.462008382375805E8,"{""type"":""MultiPoint"",""coordinates"":[]}"
