system:index,CD_MUN,Municipality_Area,max_elevation,mean_elevation,min_elevation,stdDev_elevation,variance_elevation,.geo
2412005,2412005,2.5088786478734678E8,116,43.4226267174679,-2,28.772815992833657,827.8749401574642,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412104,2412104,2.7820349728747225E8,543,212.8759759429114,165,23.269437811936395,541.4667360835753,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412203,2412203,2.9124564970777494E8,152,69.21231897642177,3,28.934168320116406,837.1860963768278,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412302,2412302,3.425911971642428E8,505,190.710241449401,112,48.872603494905846,2388.531372370283,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412401,2412401,1.7525986944115207E8,309,226.39282366771786,181,19.732825502137953,389.38440229782594,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412500,2412500,1.669526256641577E8,786,592.6076456785084,250,88.81599195152504,7888.280426333361,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412559,2412559,4.333316995451928E8,140,53.136714254345144,-1,35.2292064534664,1241.0969873409585,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412609,2412609,2.4146779460951915E8,235,110.77691391086499,53,20.05378810817646,402.15441748763953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412708,2412708,1.9608879910625988E8,144,90.54570505265944,39,20.946427907016393,438.7528420638352,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412807,2412807,4.711390700280096E8,398,83.72558533997993,45,33.567183544378565,1126.7558111019994,"{""type"":""MultiPoint"",""coordinates"":[]}"
2412906,2412906,8.66328586067272E8,705,287.2141612769201,125,107.09848223879624,11470.084897853752,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413003,2413003,1.9867422262311494E8,747,415.19093699520226,248,155.05943335885212,24043.4278735683,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413102,2413102,1.5303828701242167E8,303,132.394426639687,94,15.345851336633304,235.49515324605017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413201,2413201,2.6214275600959975E7,61,16.885725531530312,-7,16.99359559777306,288.78229134065185,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413300,2413300,9.704508546179599E7,549,347.6822652947844,147,91.36162119104155,8346.945826655372,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413359,2413359,6.229533530306231E8,276,177.73351567665176,34,48.15529024898001,2318.931978963509,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413409,2413409,5.648242307577937E8,644,205.94259974622554,131,54.93714239674067,3018.0896147197614,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413508,2413508,1.941882383784119E8,204,117.26422838130392,70,18.493675405961316,342.0160300210584,"{""type"":""MultiPoint"",""coordinates"":[]}"
2413557,2413557,1.2290466394516963E8,717,400.8685003433538,244,131.29338596405063,17237.953197905164,"{""type"":""MultiPoint"",""coordinates"":[]}"
