"","Date","Year","Month","ADM1_PCODE","Pop0_19","cases0_19","pred.mean","pred.median","pred.lci","pred.uci"
"202",2012-10-01,2012,10,"PE22",342603,27,271.175,139,1,1292
"203",2012-10-01,2012,10,"PE24",87342,4,6.472,4,0,29
"204",2012-10-01,2012,10,"PE25",235480,388,365.608,176,3,1856.2
"205",2012-11-01,2012,11,"PE16",446868,320,165.616,88.5,2,753.475
"206",2012-11-01,2012,11,"PE17",61776,116,37.725,21,0,165.05
"207",2012-11-01,2012,11,"PE20",738144,13,37.477,17,0,194
"208",2012-11-01,2012,11,"PE22",342603,235,330.339,154,2,1901.5
"209",2012-11-01,2012,11,"PE24",87342,6,5.469,2,0,28.025
"210",2012-11-01,2012,11,"PE25",235480,2858,467.025,224.5,3.975,2321.825
"211",2012-12-01,2012,12,"PE16",446868,252,255.609,139.5,2,1140.275
"212",2012-12-01,2012,12,"PE17",61776,84,34.333,19,0,140.025
"213",2012-12-01,2012,12,"PE20",738144,2,42.101,19,0,223.075
"214",2012-12-01,2012,12,"PE22",342603,127,479.93,200,3,2247.175
"215",2012-12-01,2012,12,"PE24",87342,1,4.66,2,0,23
"216",2012-12-01,2012,12,"PE25",235480,1025,1097.681,582.5,9,5412.35
"217",2013-01-01,2013,1,"PE16",446868,152,456.071,226.5,3,2132.8
"218",2013-01-01,2013,1,"PE17",61776,65,31.07,18,0,133
"219",2013-01-01,2013,1,"PE20",738144,3,92.044,43,0,489.05
"220",2013-01-01,2013,1,"PE22",342603,32,346.763,166,2,1958.825
"221",2013-01-01,2013,1,"PE24",87342,0,4.438,2,0,20
"222",2013-01-01,2013,1,"PE25",235480,127,265.988,135.5,1,1286.475
"223",2013-02-01,2013,2,"PE16",446868,217,350.025,181.5,2,1694.7
"224",2013-02-01,2013,2,"PE17",61776,75,22.506,13,0,102.025
"225",2013-02-01,2013,2,"PE20",738144,34,159.734,71.5,1,759.824999999999
"226",2013-02-01,2013,2,"PE22",342603,54,341.872,154,2,1647.125
"227",2013-02-01,2013,2,"PE24",87342,0,7.078,4,0,32
"228",2013-02-01,2013,2,"PE25",235480,59,161.69,83,1,854
"229",2013-03-01,2013,3,"PE16",446868,278,226.967,118,1,1005.05
"230",2013-03-01,2013,3,"PE17",61776,95,19.486,11,0,88.025
"231",2013-03-01,2013,3,"PE20",738144,183,250.721,117.5,1,1268.15
"232",2013-03-01,2013,3,"PE22",342603,83,296.783,134,1,1462.1
"233",2013-03-01,2013,3,"PE24",87342,14,8.254,4,0,39
"234",2013-03-01,2013,3,"PE25",235480,60,96.654,47,0,487.025
"235",2013-04-01,2013,4,"PE16",446868,190,190.12,96,1,907.025
"236",2013-04-01,2013,4,"PE17",61776,94,22.723,13,0,91.025
"237",2013-04-01,2013,4,"PE20",738144,398,397.006,188.5,1.975,1979.1
"238",2013-04-01,2013,4,"PE22",342603,32,206.849,96.5,0.975000000000001,935.05
"239",2013-04-01,2013,4,"PE24",87342,14,11.878,7,0,55
"240",2013-04-01,2013,4,"PE25",235480,40,58.98,26,0,298.025
"241",2013-05-01,2013,5,"PE16",446868,192,131.187,67,1,604
"242",2013-05-01,2013,5,"PE17",61776,72,17.586,10,0,80.0749999999999
"243",2013-05-01,2013,5,"PE20",738144,137,436.462,201,3,2359.575
"244",2013-05-01,2013,5,"PE22",342603,24,173.904,86,1,827.075
"245",2013-05-01,2013,5,"PE24",87342,17,16.565,9,0,72.025
"246",2013-05-01,2013,5,"PE25",235480,2,58.375,27,0,262.175
"247",2013-06-01,2013,6,"PE16",446868,186,82.844,43,0,348.125
"248",2013-06-01,2013,6,"PE17",61776,22,13.633,7,0,64.025
"249",2013-06-01,2013,6,"PE20",738144,51,287.821,127,1,1569.125
"250",2013-06-01,2013,6,"PE22",342603,31,156.749,78,0,855.05
"251",2013-06-01,2013,6,"PE24",87342,19,15.77,8,0,73
"252",2013-06-01,2013,6,"PE25",235480,2,45.479,22,0,228.025
"253",2013-07-01,2013,7,"PE16",446868,97,64.769,37,0,307.175
"254",2013-07-01,2013,7,"PE17",61776,31,8.242,4,0,38
"255",2013-07-01,2013,7,"PE20",738144,0,171.051,79.5,0,864.075
"256",2013-07-01,2013,7,"PE22",342603,26,171.567,79,0,888.125
"257",2013-07-01,2013,7,"PE24",87342,14,10.821,5,0,52.025
"258",2013-07-01,2013,7,"PE25",235480,18,40.567,20,0,196.05
"259",2013-08-01,2013,8,"PE16",446868,126,57.228,32,0,265.025
"260",2013-08-01,2013,8,"PE17",61776,28,5.468,3,0,24.025
"261",2013-08-01,2013,8,"PE20",738144,0,104.394,46,0,554.1
"262",2013-08-01,2013,8,"PE22",342603,53,149.039,76,1,843.525
"263",2013-08-01,2013,8,"PE24",87342,5,7.299,4,0,37.025
"264",2013-08-01,2013,8,"PE25",235480,9,38.43,18,0,198.025
"265",2013-09-01,2013,9,"PE16",446868,107,71.407,38,0,336.025
"266",2013-09-01,2013,9,"PE17",61776,16,8.663,5,0,42.025
"267",2013-09-01,2013,9,"PE20",738144,0,75.078,35,0,367.125
"268",2013-09-01,2013,9,"PE22",342603,30,164.047,71,1,869.549999999999
"269",2013-09-01,2013,9,"PE24",87342,4,5.821,3,0,30
