"","Date","Year","Month","ADM1_PCODE","PopTotal","cases_total","pred.mean","pred.median","pred.lci","pred.uci"
"309",2014-04-01,2014,4,"PE20",1929969,312,4005.099,1819,15,19277.35
"310",2014-04-01,2014,4,"PE22",862467,64,432.136,207.5,2,2122.325
"311",2014-04-01,2014,4,"PE24",234701,65,351.738,186,2,1562.025
"312",2014-04-01,2014,4,"PE25",548999,55,250.235,114.5,1,1228.675
"313",2014-05-01,2014,5,"PE16",981899,564,432.882,234.5,3,2116.175
"314",2014-05-01,2014,5,"PE17",161203,69,28.149,16,0,117.1
"315",2014-05-01,2014,5,"PE20",1929969,391,3453.643,1672.5,20,14846.8
"316",2014-05-01,2014,5,"PE22",862467,40,353.971,163.5,1.975,1917.2
"317",2014-05-01,2014,5,"PE24",234701,124,439.52,229,3,2191.05
"318",2014-05-01,2014,5,"PE25",548999,43,185.47,89,1,858.125
"319",2014-06-01,2014,6,"PE16",981899,364,346.975,180,3,1629.325
"320",2014-06-01,2014,6,"PE17",161203,54,17.771,9,0,81.025
"321",2014-06-01,2014,6,"PE20",1929969,574,1982.878,947.5,10,9521.12499999999
"322",2014-06-01,2014,6,"PE22",862467,25,352.925,155.5,1,1741.775
"323",2014-06-01,2014,6,"PE24",234701,153,397.492,229,2,1809.9
"324",2014-06-01,2014,6,"PE25",548999,56,147.303,68,0,692.824999999999
"325",2014-07-01,2014,7,"PE16",981899,272,265.542,147.5,2,1237.275
"326",2014-07-01,2014,7,"PE17",161203,37,13.608,7,0,58
"327",2014-07-01,2014,7,"PE20",1929969,377,1092.925,521.5,6.975,5199.15
"328",2014-07-01,2014,7,"PE22",862467,16,305.973,147,1,1457.675
"329",2014-07-01,2014,7,"PE24",234701,259,288.873,159,1,1353.925
"330",2014-07-01,2014,7,"PE25",548999,68,131.053,60.5,0,685.4
"331",2014-08-01,2014,8,"PE16",981899,211,226.962,130,1,1049.2
"332",2014-08-01,2014,8,"PE17",161203,44,8.788,5,0,40
"333",2014-08-01,2014,8,"PE20",1929969,309,612.063,272,1,3177.325
"334",2014-08-01,2014,8,"PE22",862467,13,314.583,149,1,1492.5
"335",2014-08-01,2014,8,"PE24",234701,289,164.243,89.5,1,739.125
"336",2014-08-01,2014,8,"PE25",548999,58,123.306,63,0,599.075
"337",2014-09-01,2014,9,"PE16",981899,430,265.859,134.5,2,1364.8
"338",2014-09-01,2014,9,"PE17",161203,41,10.183,5,0,45.025
"339",2014-09-01,2014,9,"PE20",1929969,211,412.453,180,1.975,2115.225
"340",2014-09-01,2014,9,"PE22",862467,19,277.4,123.5,1,1438.55
"341",2014-09-01,2014,9,"PE24",234701,185,129.714,71,0,551.35
"342",2014-09-01,2014,9,"PE25",548999,119,178.129,86,1,861.075
"343",2014-10-01,2014,10,"PE16",981899,700,370.905,200.5,1,1748.475
"344",2014-10-01,2014,10,"PE17",161203,34,22.075,12,0,95.025
"345",2014-10-01,2014,10,"PE20",1929969,118,350.37,166,2,1931.325
"346",2014-10-01,2014,10,"PE22",862467,12,345.795,165,1,1768.275
"347",2014-10-01,2014,10,"PE24",234701,116,86.603,43,0,432
"348",2014-10-01,2014,10,"PE25",548999,172,301.557,144.5,1.975,1456.225
"349",2014-11-01,2014,11,"PE16",981899,702,679.798,375,5,3513
"350",2014-11-01,2014,11,"PE17",161203,74,49.706,31,0,208.05
"351",2014-11-01,2014,11,"PE20",1929969,70,321.269,151,0,1518.375
"352",2014-11-01,2014,11,"PE22",862467,27,417.812,192,2,2106.15
